soy,soy,,,always:always,Trinity
soybean,"soy, soybean",,,always:always,Trinity
soybean oil,"soy, soybean, soybean oil",,,always:always,Trinity
soy flour,"soy, soy flour",,,always:always,Trinity
soymilk,"soy, soymilk",,,always:always,Trinity
tofu,"tof, tofu",,,always:always,Trinity
bean curd,bean curd,,,always:always,Trinity
dofu,dofu,,,always:always,Trinity
kori-dofu,"kori, kori dofu",,,always:always,Trinity
soybean curds,"soy, soybean, soybean curds",,,always:always,Trinity
edamame,edamame,,,always:always,Trinity
glycine max,"glycine, glycine max",,,always:always,Trinity
kinako,kinako,,,always:always,Trinity
kouridofu,kouridofu,,,always:always,Trinity
miso,miso,,,always:always,Trinity
hydrolyzed soy protein,hydrolyzed soy protein,,,always:always,Trinity
natto,natto,,,always:always,Trinity
nimame,nimame,,,always:always,Trinity
okara,okara,,,always:always,Trinity
soya,"soy, soya",,,always:always,Trinity
soja,soja,,,always:always,Trinity
soyabean,"soy, soyabean",,,always:always,Trinity
soy protein,"soy, soy protein",isolate/concentrate,,always:always,Trinity
vegetable protein,vegetable protein,,,always:always,Trinity
tempeh,tempeh,,,always:always,Trinity
textured soy flour,"textured soy flour, tsf",TSF,,always:always,Trinity
textured soy protein,"textured soy protein, tvp",TVP,,always:always,Trinity
yuba,yuba,,,always:always,Trinity
mono-diglyceride,"mono-diglyceride, mono diglyceride",,,sometimes:sometimes,Trinity
vegetable oil,vegetable oil,,,sometimes:sometimes,Trinity
vegetable shortening,vegetable shortening,,,sometimes:sometimes,Trinity
margarine,margarine,,,sometimes:sometimes,Trinity
cooking spray,cooking spray,,,sometimes:sometimes,Trinity
yogurt,yogurt,,dairy,sometimes:sometimes,Trinity
hydrolyzed plant protein,"hydrolyzed plant protein, hpp",HPP,,sometimes:sometimes,Trinity
hydrolyzed vegetable protein,"hydrolyzed vegetable protein, hvp",HVP,,sometimes:sometimes,Trinity
imitation crab,imitation crab,,,sometimes:sometimes,Trinity
monosodium glutamate,"monosodium glutamate, msg",MSG,,sometimes:sometimes,Trinity
teriyaki,teriyaki,,,sometimes:sometimes,Trinity
worcestershire,worcestershire,,,sometimes:sometimes,Trinity
seasonings,seasonings,,,sometimes:sometimes,Trinity
mayonnaise,"mayonnaise, mayo",,,sometimes:sometimes,Trinity
peanut butter,peanut butter,,,sometimes:sometimes,Trinity
thickening agents,thickening agents,,,sometimes:sometimes,Trinity
glycerine,glycerine,,,sometimes:sometimes,Trinity
,,,,sometimes:sometimes,Trinity
