acidophilus milk,"milk, acidophilus milk",,,tolerated:always,Trinity
buttermilk,"milk, butter, buttermilk",,,always:always,Trinity
buttermilk blend,"milk, butter, buttermilk",,,always:always,Trinity
buttermilk solids,"milk, butter, buttermilk",,,always:always,Trinity
cultured milk,"milk, cultured milk",,,always:always,Trinity
condensed milk,"milk, condensed milk",,,always:always,Trinity
dried milk,"milk, dried milk",,,always:always,Trinity
dry milk solids,"milk, dried milk solids, DMS, dms",DMS,,always:always,Trinity
evaporated milk,"milk, evaporated milk",,,always:always,Trinity
fat?free milk,"milk, fat-free milk",,,always:always,Trinity
fully cream milk powder,"milk, fully cream milk powder, cream",,,always:always,Trinity
goat’s milk,"milk, goat's milk, goats milk, goat milk",,,tolerated:always,Trinity
Lactaid® milk,"milk, lactaid milk",regular milk with added lactase,,tolerated:always,Trinity
low fat milk,"milk, low fat milk",,,always:always,Trinity
malted milk,"milk, malted milk",,,always:always,Trinity
milk derivative,"milk, milk derivative",,,always:always,Trinity
milk powder,"milk, milk powder",,,always:always,Trinity
milk protein,"milk, protein",,,always:always,Trinity
milk solids,"milk, solids",,,always:always,Trinity
milk solid pastes,"milk, solid pastes",,,always:always,Trinity
nonfat dry milk,"milk, nonfat dry milk",,,always:always,Trinity
nonfat milk,"milk, nonfat milk",,,always:always,Trinity
nonfat milk solids,"milk, nonfat milk solids",,,always:always,Trinity
pasteurized milk,"milk, pasteurized milk",,,always:always,Trinity
powdered milk,"milk, powdered milk",,,always:always,Trinity
sheep’s milk,"milk, sheep's milk, sheeps milk, sheep milk",,,tolerated:always,Trinity
skim milk,"milk, skim milk",,,always:always,Trinity
skim milk powder,"milk, skim milk powder",,,always:always,Trinity
sour milk,"milk, sour milk",,,always:always,Trinity
sour milk solids,"milk, sour milk solids",,,always:always,Trinity
sweet cream buttermilk powder,"milk, sweet cream buttermilk powder, cream, butter",,,always:always,Trinity
sweetened condensed milk,"milk, sweetened condensed milk",,,always:always,Trinity
sweetened condensed skim milk,"milk, sweetened condensed skim milk",,,always:always,Trinity
whole milk,"milk, whole milk",,,always:always,Trinity
1% milk,"milk, 1% milk, one percent milk",,,always:always,Trinity
2% milk,"milk, 2% milk, two percent milk",,,always:always,Trinity
milk,milk,,,always:always,Trinity
artificial butter,"butter, artificial butter",,,tolerated:always,Trinity
artificial butter flavor,"butter, artificial butter flavor, butter flavor",,,tolerated:always,Trinity
butter,butter,,,always:always,Trinity
butter extract,"butter, butter extract",,,always:always,Trinity
butter fat,"butter, butter fat",,,always:always,Trinity
butter flavored oil,"butter, butter flavored oil",,,always:always,Trinity
butter solids,"butter, butter solids",,,always:always,Trinity
dairy butter,"butter, dairy butter, dairy",,,always:always,Trinity
natural butter,"butter, natural butter",,,always:always,Trinity
natural butter flavor,"butter, natural butter flavor, butter flavor",,,always:always,Trinity
whipped butter,"butter, whipped butter",,,always:always,Trinity
